DetectionID,RangeBin,DopplerBin,Range_m,Velocity_mps,RangeOffset_bin,DopplerOffset_bin,RangeRefined_m,VelocityRefined_mps,Power_dB,Noise_dB,Threshold_dB,SNR_dB,CFARMethod,VariabilityIndex,SectorMeanRatio,SubbinFitR2,SubbinMethod
1,5,161,2.098156851236979,5.116051939984709,0.2656603782091487,-0.012743173501033742,2.2375061368974123,5.114014604437474,27.303681210538933,-24.58940732868114,-14.379256853397195,51.893088539220074,VI_SELECTED,47.934377965388045,4050.375297786507,0.9999988502271003,QUADRATIC_2D_LOG
2,5,65,2.098156851236979,-10.232103879969419,0.33054882279245545,-0.015001782100745393,2.2715426705395565,-10.234502314232536,22.793877369330037,-23.928764077755336,-13.71861360247139,46.722641447085365,VI_SELECTED,50.857963109850324,2850.641662531357,0.9999980880329798,QUADRATIC_2D_LOG
3,9,161,4.196313702473958,5.116051939984709,0.37119754625991197,-0.02027199218535601,4.391021371185856,5.112810922330108,25.150261539900754,-17.72128625522362,-7.5111357799396785,42.87154779512438,VI_SELECTED,24.473774113841795,2094.953746874749,0.9999699406020478,QUADRATIC_2D_LOG
4,9,65,4.196313702473958,-10.232103879969419,0.4360664949276912,-0.013139717953627061,4.425047678455816,-10.234204613704653,24.888678770258657,-17.132302236713592,-6.9221517614296495,42.02098100697225,VI_SELECTED,19.707109379750634,507.9401075402359,0.9999891740993608,QUADRATIC_2D_LOG
5,14,65,6.819009766520182,-10.232103879969419,-0.4522964057285451,-0.01810475349025745,6.5817625659028804,-10.234998406819942,19.953483084935204,-19.67561789261285,-9.465467417328902,39.62910097754805,VI_SELECTED,47.026703788146676,1319.7726856914542,0.999966158181967,QUADRATIC_2D_LOG
6,14,161,6.819009766520182,5.116051939984709,-0.2797622073533204,-0.018149418807346232,6.672263518501294,5.113150272194118,16.741714763769988,-20.506508553900964,-10.29635807861702,37.24822331767095,VI_SELECTED,27.665042468265334,1514.457148206233,0.9999448410078315,QUADRATIC_2D_LOG
7,18,161,8.917166617757161,5.116051939984709,0.19163407593168996,-0.0124785952306586,9.017686205093797,5.114056904317894,13.688836740924813,-20.65227867139843,-10.442128196114489,34.34111541232324,VI_SELECTED,21.723911969863416,250.24491323669548,0.9999825981189724,QUADRATIC_2D_LOG
8,22,161,11.01532346899414,5.116051939984709,-0.3916880289306641,-0.006221889107930672,10.809867738632045,5.115057205364678,9.35495894968153,-19.202364553775045,-8.9922140784911,28.557323503456576,VI_SELECTED,22.759430861326937,97.60034868790187,0.998712368558877,QUADRATIC_2D_LOG
9,18,65,8.917166617757161,-10.232103879969419,0.36857239865074815,-0.0017378136029670354,9.11049729360864,-10.23238171573988,8.089887459905151,-18.96773273867134,-8.757582263387398,27.057620198576494,VI_SELECTED,38.048713827713115,305.32149503471584,0.9981760206819253,QUADRATIC_2D_LOG
10,20,65,9.96624504337565,-10.232103879969419,-0.4893636554958,-0.01925683713885438,9.709554616744429,-10.235182598063238,7.580869742357363,-18.846750704301847,-8.636600229017906,26.427620446659216,VI_SELECTED,14.89372921848791,56.53232635888074,0.9997214948778333,QUADRATIC_2D_LOG
11,24,65,12.06440189461263,-10.232103879969419,0.2549931658554647,0.013275188402401876,12.198155809102191,-10.229981487676302,3.7383128635038547,-19.15159167591343,-8.94144120062949,22.889904539417287,VI_SELECTED,13.026972795013359,26.650604072965585,0.999324018602479,QUADRATIC_2D_LOG
12,26,161,13.113480320231119,5.116051939984709,-0.4910792083378132,-0.02860412923759273,12.855890018862617,5.111478808394786,2.3412790828720715,-18.67086276919379,-8.460712293909843,21.01214185206586,VI_SELECTED,18.39117572923182,36.00567081988013,0.9988999878755629,QUADRATIC_2D_LOG
13,28,65,14.162558745849608,-10.232103879969419,-0.2519602102973481,0.027131593849606325,14.030395735480987,-10.227766172364758,2.4674159205670514,-18.072445491306212,-7.862295016022268,20.53986141187326,VI_SELECTED,10.504495377569715,11.999294687198175,0.9910396632339363,QUADRATIC_2D_LOG
14,31,65,15.736176384277343,-10.232103879969419,-0.07166824594451923,0.05952378826040388,15.698583578966186,-10.222587417706766,0.29182640489972644,-18.10879226222233,-7.898641786938389,18.400618667122057,VI_SELECTED,9.579130586610598,8.843638565823355,0.9953884957837588,QUADRATIC_2D_LOG
15,29,161,14.687097958658853,5.116051939984709,0.36760749313314034,-0.047694513652739086,14.87992250372969,5.108426702200343,0.1808565372198931,-18.01919932874521,-7.809048853461267,18.200055865965105,VI_SELECTED,8.54699386346995,8.871093554319364,0.9997463996245761,QUADRATIC_2D_LOG
16,31,161,15.736176384277343,5.116051939984709,-0.49189570137632477,-0.006704050991951402,15.478157800293154,5.114980118950862,-0.26848912598725605,-18.43118439750391,-8.221033922219966,18.162695271516654,VI_SELECTED,6.969347408824057,6.268074145868506,0.9986457675184991,SEPARABLE_LOG
