scenario,elapsed_s,range_m,radial_speed_mps,angle_deg,x_m,y_m,snr_db
approaching_box,40.537,2.2,-0.15,-37.95,1.35294185813,1.73480498285,21
approaching_box,40.638,2.17,-0.15,-35.6,1.26320684524,1.76442865147,24
approaching_box,40.701,1.94,-0.25,-39.85,1.24311302446,1.48938578226,26.5
approaching_box,40.734,2.14,-0.2,-32.2,1.14035523079,1.81085337551,30
approaching_box,40.799,2.16,-0.2,-36.95,1.29841456276,1.7261864393,29.5
approaching_box,40.842,1.96,-0.2,-31.95,1.03719084191,1.66308002136,27
approaching_box,40.893,1.72,-0.25,-40.3,1.11247842076,1.31178952708,23
approaching_box,40.948,1.71,-0.2,-40.15,1.10259244629,1.30705389996,22
approaching_box,41.048,1.73,-0.15,-40.05,1.11317864599,1.32428595934,22
approaching_box,41.107,1.74,-0.2,-39.95,1.11728682532,1.3338928555,23
approaching_box,41.137,1.68,-0.2,-40.05,1.08100585275,1.28601179867,23
approaching_box,41.192,1.71,-0.2,-40.15,1.10259244629,1.30705389996,22
approaching_box,41.236,1.7,-0.15,-40.15,1.09614453724,1.2994103099,23
approaching_box,41.294,1.69,-0.1,-40.05,1.0874404114,1.2936666308,22
approaching_box,41.326,1.68,-0.15,-40.2,1.08436891538,1.28317732811,22.5
approaching_box,41.444,1.65,-0.15,-40.35,1.06830089325,1.25747095453,23
approaching_box,41.5,1.68,-0.1,-40.5,1.09107272119,1.27748202221,22
approaching_box,41.546,1.65,-0.1,-40.45,1.07049396586,1.25560450344,24
approaching_box,41.578,1.68,-0.1,-40.5,1.09107272119,1.27748202221,22
approaching_box,41.634,1.65,-0.1,-40.5,1.07158927974,1.25466984324,26.5
approaching_box,41.702,1.64,-0.1,-40.6,1.06726971632,1.24520494403,24.5
approaching_box,41.793,1.62,-0.1,-40.65,1.05532722493,1.22909903927,25.5
approaching_box,41.826,1.62,-0.15,-40.8,1.05854137846,1.22633199016,24
approaching_box,41.89,1.59,-0.1,-40.8,1.03893876034,1.20362213849,23.5
approaching_box,41.94,1.87,-0.05,-33.7,1.03755907933,1.55575420838,28
approaching_box,41.983,1.95,-0.05,-44.2,1.35947195057,1.39797568492,25
approaching_box,42.045,1.95,-0.1,-35.4,1.12959828607,1.58949920167,27.5
approaching_box,42.077,1.98,-0.15,-33.85,1.10290073719,1.64438741296,19.5
approaching_box,42.192,1.83,-0.25,-32.95,0.995349717745,1.53563633045,23
approaching_box,42.242,1.94,-0.3,-32.35,1.03807416531,1.63890269001,26.5
approaching_box,42.297,1.95,-0.35,-32.7,1.05346862493,1.64094602479,26
approaching_box,42.328,2.01,-0.4,-32.5,1.07997221278,1.69521680608,19.5
approaching_box,42.379,1.97,-0.4,-29.35,0.96558227995,1.71713449114,22.5
approaching_box,42.441,1.93,-0.05,-22.4,0.735465826356,1.78437384487,22
approaching_box,42.503,1.91,-0.3,-25.2,0.813238446889,1.72821967021,25
approaching_box,42.58,1.9,-0.25,-23.3,0.75153645487,1.74504812455,18.5
approaching_box,42.633,1.9,-0.25,-20.55,0.666946832135,1.77909581617,26.5
approaching_box,42.677,1.87,-0.4,-19.45,0.622680308794,1.76328365076,24.5
approaching_box,42.74,1.83,-0.65,-19.45,0.6093609439,1.72556635342,27.5
approaching_box,42.82,1.77,-0.8,-18.15,0.551365253051,1.68193232852,25
approaching_box,42.958,1.7,-0.95,-17.4,0.508369346835,1.62220855848,21
approaching_box,42.988,1.65,-1,-13.3,0.37958206636,1.60574514008,16.5
approaching_box,43.038,1.57,-1.15,-16.95,0.457713184466,1.50179846876,19.5
receding_box,14.534,1.2,0.45,-21.7,0.443696108729,1.11495908584,20.5
receding_box,14.604,1.21,0.45,-25.2,0.515192942794,1.09484073348,20.5
receding_box,14.754,1.26,0.4,-27.7,0.585700977613,1.11559596845,19.5
receding_box,14.814,1.3,0.35,-27.95,0.609311127089,1.14836403218,21.5
receding_box,14.835,1.3,0.3,-26.2,0.573957608629,1.16643588058,21.5
receding_box,14.934,1.33,0.25,-27.95,0.623372153098,1.17486474062,25
receding_box,15.034,1.35,0.2,-30.05,0.676020004992,1.16854480139,18.5
receding_box,15.135,1.34,0.2,-31.3,0.696155609919,1.14497483238,22.5
receding_box,15.254,1.35,0.2,-31.7,0.709386728948,1.14859499772,26.5
receding_box,15.262,1.36,0.2,-31.55,0.711609711027,1.15897006828,23
receding_box,15.372,1.39,0.2,-31.1,0.717981327125,1.19021124759,27
receding_box,15.383,1.41,0.2,-30.95,0.725148701629,1.20923916597,24.5
receding_box,15.389,1.43,0.2,-31.55,0.748236681448,1.21862293944,28
receding_box,15.466,1.43,0.2,-32.2,0.762013074781,1.21005622756,24.5
receding_box,15.551,1.43,0.2,-32.4,0.76623231682,1.20738893347,28.5
receding_box,15.614,1.46,0.2,-32.45,0.783382572718,1.23203561018,26
receding_box,15.618,1.48,0.25,-32.3,0.790841477097,1.25098751317,26
receding_box,15.669,1.51,0.25,-32.15,0.80352782193,1.27845337787,27
receding_box,15.717,1.51,0.25,-31.95,0.799060291471,1.28125042462,22.5
receding_box,15.773,1.52,0.25,-32.3,0.812215571073,1.2847979865,24
receding_box,15.82,1.53,0.25,-32.2,0.815300702388,1.29467554418,26
receding_box,15.954,1.55,0.25,-32.15,0.824813327147,1.31231969251,24.5
receding_box,15.962,1.56,0.25,-32.3,0.833589665048,1.31860845983,20.5
receding_box,16.066,1.63,0.2,-30.6,0.829737507673,1.40300950402,21
receding_box,16.098,1.61,0.15,-41.95,1.07625575508,1.19740283516,22
receding_box,16.159,1.66,0.15,-41.3,1.09560276882,1.24709846162,19
receding_box,16.215,1.63,0.2,-30.6,0.829737507673,1.40300950402,23
receding_box,16.32,1.63,0.25,-30.3,0.822380026818,1.40733474749,25
receding_box,16.348,1.66,0.3,-29.6,0.81994349853,1.44336158298,18.5
receding_box,16.404,1.66,0.3,-30.45,0.841265185808,1.43103909351,22
receding_box,16.479,1.68,0.3,-29.35,0.823440726049,1.46435834777,21
receding_box,16.506,1.7,0.3,-30.05,0.851284450731,1.47150086101,26
receding_box,16.565,1.72,0.3,-31.4,0.896136566766,1.46810737131,25.5
receding_box,16.624,1.73,0.3,-31.35,0.900057706034,1.47742889027,27.5
receding_box,16.705,1.72,0.15,-42.1,1.15313378461,1.27619844648,18
receding_box,16.772,1.75,0.2,-30.95,0.900007253795,1.5008287521,19.5
receding_box,16.81,1.74,0.15,-31.35,0.905260351734,1.48596894166,22.5
receding_box,16.876,1.76,0.15,-31.1,0.909098658805,1.5070300689,26
receding_box,16.911,1.77,0.15,-31.7,0.930084822398,1.50593566368,26
receding_box,16.993,1.77,0.15,-32.65,0.954925191962,1.49030798084,27.5
receding_box,17.023,1.78,0.1,-32.4,0.953771695063,1.50290370739,27.5
receding_box,17.061,1.8,0.1,-32.1,0.956517443133,1.52481945849,26.5
receding_box,17.164,1.78,0.1,-32.6,0.959011997312,1.49956526667,26
receding_box,17.242,1.8,0.1,-32.35,0.963161596677,1.52063136186,24
receding_box,17.272,1.78,0.15,-32.55,0.957703014751,1.50040159142,22.5
receding_box,17.362,1.84,0.15,-31,0.947670057834,1.57718783329,21
receding_box,17.442,1.83,0.2,-30.85,0.93840982431,1.57107829265,18
receding_box,17.557,1.82,0.15,-30.55,0.925087950874,1.56735837738,19.5
receding_box,17.647,1.85,0.1,-34.2,1.03985424903,1.53009906241,19.5
receding_box,17.66,1.8,0.1,-32.35,0.963161596677,1.52063136186,21.5
receding_box,17.751,1.86,0.1,-32.9,1.01030447691,1.56169294803,23.5
receding_box,17.763,1.86,0.15,-32.15,0.989775992576,1.57478363102,26
receding_box,17.842,1.88,0.15,-33,1.02392138583,1.57670066774,24
receding_box,17.854,1.86,0.15,-32.15,0.989775992576,1.57478363102,24
receding_box,17.909,1.89,0.1,-32.15,1.00574012149,1.600183367,27.5
receding_box,17.976,1.89,0.1,-32.55,1.01688690892,1.59312303808,26.5
receding_box,18.072,1.89,0.1,-32.05,1.00294574424,1.60193627655,24
receding_box,18.076,1.89,0.15,-31.8,0.995946453489,1.60629718975,23
receding_box,18.139,1.93,0.15,-32.6,1.03982761506,1.62593312622,25
receding_box,18.196,1.93,0.15,-32.7,1.04266381852,1.62411580915,24.5
receding_box,18.251,1.94,0.15,-32.7,1.04806622173,1.63253091697,25
receding_box,18.305,1.94,0.15,-30.8,0.993363157849,1.66638220005,24
receding_box,18.404,1.95,0.15,-32.7,1.05346862493,1.64094602479,25
receding_box,18.431,1.95,0.15,-32.35,1.04342506307,1.64735064202,26
receding_box,18.502,1.95,0.15,37.05,-1.17489788299,1.5563145455,22
receding_box,18.557,1.95,0.15,-40.85,1.27545786792,1.47502787335,21
receding_box,18.599,1.96,0.15,-33.35,1.07751389721,1.63724274355,22.5
receding_box,18.66,2.07,0.15,-41.3,1.36620345268,1.55511675635,21.5
receding_box,18.752,2,0.15,-31.6,1.04797181194,1.70345386829,22.5
receding_box,18.821,1.99,0.2,-34.3,1.12141683739,1.64393560605,23.5
receding_box,18.851,1.97,0.2,-32.35,1.05412685859,1.66424654604,25
receding_box,18.917,2.01,0.2,-33.05,1.09619511841,1.6847718725,24.5
receding_box,18.991,2.13,0.2,-30.65,1.08585772881,1.83243362575,24.5
receding_box,19.023,2.06,0.15,-32.1,1.09468107381,1.74507115805,22.5
receding_box,19.058,2.09,0.15,-32.35,1.1183376317,1.76562197017,26.5
receding_box,19.108,2.09,0.15,-32.5,1.12295618144,1.76268812175,27.5
receding_box,19.251,2.11,0.15,-32.3,1.12748345721,1.7835024681,27
receding_box,19.278,2.06,0.15,-33.3,1.13098700508,1.72176316442,20.5
receding_box,19.319,2.14,0.2,-31.6,1.12132983878,1.82269563907,25
receding_box,19.352,2.14,0.2,-32.3,1.14351402769,1.80886032309,24.5
receding_box,19.413,2.14,0.2,-32.45,1.14824568878,1.80586041493,26.5
receding_box,19.45,2.14,0.2,-34.8,1.22132703484,1.75725930755,25.5
receding_box,19.514,2.17,0.2,-31.6,1.13704941596,1.84824744709,26
receding_box,19.603,2.15,0.2,-31.35,1.11856882542,1.8361110486,25
receding_box,19.659,2.15,0.2,-31.95,1.13773485209,1.82429696221,26
receding_box,19.699,2.17,0.2,-32.8,1.17550681631,1.82402952959,28
receding_box,19.765,2.18,0.2,-32.85,1.18252254993,1.8314039475,29
receding_box,19.826,2.19,0.2,-32.05,1.16214348142,1.856211876,26.5
receding_box,19.857,2.19,0.15,-31.55,1.14590093173,1.86628268348,27
receding_box,19.927,2.22,0.1,-32.6,1.19607114272,1.87024432136,32
receding_box,20.029,2.23,0.05,-32.5,1.19817812661,1.88076292416,34
receding_box,20.069,2.18,0.05,-32.15,1.16006003431,1.84571414818,29.5
receding_box,20.163,2.36,0.1,-39.8,1.51065889078,1.81314911568,16
receding_box,20.208,2.35,0.1,-40.05,1.51212128212,1.79888555171,17
receding_box,20.252,2.35,0.1,-39.85,1.50583278737,1.80415288058,15
receding_box,20.298,2.42,0.1,-39.95,1.55392765361,1.85518431627,15
receding_box,20.863,2.41,0.1,-39.95,1.54750646496,1.84751826538,15
receding_box,20.917,2.35,0.1,-40.15,1.51525862501,1.79624366368,17
receding_box,21.104,2.14,0.1,-40.3,1.38413012815,1.63211022555,15.5
receding_box,21.546,2.89,0.2,30.3,-1.45808483283,2.49521314125,16.5
receding_person_short,1.303,3.24,0.1,20.95,-1.15847207827,3.02581269147,22
receding_person_short,1.34199999999,3.25,0.15,20.6,-1.14348535732,3.04219349115,22
receding_person_short,1.39599999999,3.27,0.2,20.4,-1.13983059474,3.06491210564,21
receding_person_short,1.80099999999,3.48,0.1,9.05,-0.547391214624,3.43667904497,20
receding_person_short,1.84199999999,3.43,0.25,9.45,-0.563160883731,3.38345235212,20.5
receding_person_short,2.14499999999,3.41,0.15,20.6,-1.19978002106,3.19196301687,21.5
receding_person_short,2.19799999999,3.42,0.1,21.8,-1.27007799758,3.17542152793,18
receding_person_short,2.39199999999,3.67,0.2,8.3,-0.529787257674,3.63155964588,21
receding_person_short,2.49699999999,3.69,0.2,8.9,-0.570881325445,3.64557190469,22.5
receding_person_short,2.549,3.68,0.15,8.9,-0.569334221582,3.63569230603,20
receding_person_short,2.594,3.69,0.15,7.45,-0.478448882511,3.65885045702,22.5
receding_person_short,2.64499999999,3.63,0.1,6.9,-0.43609672497,3.6037091512,22.5
receding_person_short,2.68799999999,3.65,0.1,7.3,-0.463785821395,3.62041471545,22.5
receding_person_short,2.745,3.48,0.1,21.7,-1.28671871531,3.23338134894,22.5
receding_person_short,2.798,3.56,0.1,21.7,-1.31629845589,3.30771195466,23
receding_person_short,2.84299999999,3.53,0.15,-47.2,2.5900664217,2.39842780404,23
receding_person_short,2.95599999999,3.52,0.15,20.7,-1.2442314501,3.29276298852,25
receding_person_short,2.996,3.54,0.2,10.8,-0.663329853633,3.47729686758,26
