scene,run,rx,peak_range_m,peak_velocity_mps,peak_power_db,mti2_zero_doppler_suppression_db,positive_moving_energy_db,negative_moving_energy_db,positive_minus_negative_db
empty,1,0,162.607155970866,-20.4642077599388,115.520660817111,42.9034874157703,128.569160227827,132.256704602386,-3.68754437455912
vehicle_approaching,1,0,34.0950488326009,-20.4642077599388,118.226168608204,43.684467822801,128.657126428629,131.687368413553,-3.03024198492392
vehicle_approaching,2,0,34.0950488326009,-20.4642077599388,118.155725722211,44.8146559405963,128.15214977529,131.556600895722,-3.40445112043163
vehicle_approaching,3,0,29.3741959173177,-20.4642077599388,118.395120788975,44.9344860857835,128.064276464316,131.580999560453,-3.5167230961366
vehicle_approaching,4,0,15.2116371714681,-20.4642077599388,126.469478801727,43.0026431856652,129.185043330421,136.123229728794,-6.9381863983723
vehicle_approaching,5,0,15.2116371714681,-20.4642077599388,124.327232854583,47.1390374614286,129.960704267633,133.793418696233,-3.83271442859975
vehicle_receding,1,0,251.778822148437,-20.4642077599388,115.677103011081,42.2332236239645,127.833877983213,131.218984541958,-3.38510655874533
vehicle_receding,2,0,227.125479146403,-20.4642077599388,114.420771251818,41.6737372089913,127.687576154424,130.607058071369,-2.91948191694549
vehicle_receding,3,0,227.125479146403,-20.4642077599388,114.566204546227,41.7190905132909,127.629739278317,130.723376597905,-3.09363731958797
vehicle_receding,4,0,251.778822148437,-20.4642077599388,114.93533035535,42.0860937163356,127.64982288447,130.902062702787,-3.25223981831704
vehicle_receding,5,0,55.6011565577799,-10.3919805030939,116.888330520475,38.788915436161,128.547742681364,130.796193654747,-2.24845097338258
